province;district;gov_trans;social_inclusion;economic_status;education;health;social_life;munenvperf_trans;hdi_d
Ýzmir;Bayindir;0.641;0.108;0.302;0.403;0.457;0.113;0.425;0.376
Kocaeli;Derince;0.54;0.055;0.502;0.6;0.238;0.05;0;0.365
Gaziantep;Nizip;0.575;0.087;0.508;0.334;0.393;0.125;0.425;0.363
Ankara;Kahramankazan;0.57;0.09;0.256;0.522;0.405;0.125;0.2;0.361
Mersin;Erdemli;0.366;0.248;0.311;0.517;0.362;0.125;0.25;0.345
Samsun;Bafra;0.41;0.092;0.488;0.446;0.391;0.175;0.125;0.344
Konya;Ereðli;0.504;0.075;0.502;0.465;0.248;0.075;0.188;0.342
Van;Ýpekyolu;0.397;0.083;0.511;0.393;0.454;0.125;0.25;0.339
Ankara;Elmadað;0.375;0.255;0.273;0.492;0.291;0.163;0.225;0.329
Þanliurfa;Eyyübiye;0.495;0.34;0.45;0.107;0.317;0.325;0.125;0.325
Ankara;Pursaklar;0.366;0.24;0.339;0.553;0.122;0.125;0.3;0.324
Kahramanmaraþ;Elbistan;0.359;0.172;0.262;0.417;0.446;0.125;0.125;0.309
Van;Edremit;0.399;0.115;0.137;0.423;0.434;0.2;0.288;0.305
Diyarbakir;Baðlar;0.345;0.215;0.444;0.348;0.281;0.125;0.125;0.3
Ordu;Ünye;0.371;0.025;0.46;0.366;0.412;0.05;0.175;0.296
Kahramanmaraþ;Dulkadiroðlu;0.447;0.13;0.143;0.333;0.45;0.075;0.25;0.287
Van;Tuþba;0.503;0.18;0.25;0.371;0.046;0.113;0.25;0.282
Þanliurfa;Siverek;0.341;0.222;0.424;0.192;0.262;0.125;0.35;0.27
Ankara;Kalecik;0.404;0.098;0.082;0.373;0.456;0.075;0.125;0.269
Ankara;Nallihan;0.19;0.272;0.066;0.459;0.319;0.125;0.175;0.255
Ankara;Evren;0.28;0.04;0.072;0.244;0.418;0.075;0.125;0.199
Diyarbakir;Ergani;0.167;0.09;0.071;0.263;0.232;0.075;0.125;0.162
Ankara;Çamlidere;0.316;0.015;0.076;0.063;0.219;0.125;0.125;0.141
